day,operation,price,investment,total balance
0,buy,173.99000549316406,0,98260.09994506836
1,buy,172.13999938964844,0,96538.69995117188
3,buy,176.55999755859375,0,94773.09997558594
4,buy,175.17999267578125,0,93021.30004882812
5,sell,176.0399932861328,1.1782215806926293,94781.69998168945
6,buy,175.1999969482422,0,93029.70001220703
8,sell,177.55999755859375,3.1485989242261154,94805.29998779297
9,sell,180.4900054931641,2.225876749497641,96610.20004272461
10,sell,177.22999572753906,1.1702267025161412,98382.5
11,sell,179.0,2.168951551340731,100172.5
20,buy,171.36000061035156,0,98458.89999389648
22,sell,169.4499969482422,-1.1146146447865939,100153.3999633789
26,buy,168.44000244140625,0,98468.99993896484
27,sell,171.97000122070312,2.0957009784684755,100188.69995117188
28,buy,171.00999450683594,0,98478.60000610352
30,sell,169.00999450683594,-1.1695222877280733,100168.69995117188
33,buy,161.0,0,98558.69995117188
35,buy,161.92999267578125,0,96939.40002441406
36,buy,162.41000366210938,0,95315.29998779297
37,buy,162.82000732421875,0,93687.09991455078
38,buy,160.77000427246094,0,92079.39987182617
39,buy,162.0500030517578,0,90458.8998413086
40,buy,162.55999755859375,0,88833.29986572266
41,buy,164.9600067138672,0,87183.69979858398
42,sell,166.1699981689453,3.211178986922554,88845.39978027344
43,buy,164.02999877929688,0,87205.09979248047
46,sell,159.6699981689453,-1.3956614642482779,88801.79977416992
47,buy,158.7100067138672,0,87214.69970703125
48,buy,160.75999450683594,0,85607.09976196289
49,buy,153.8000030517578,0,84069.09973144531
50,buy,154.2899932861328,0,82526.19979858398
51,buy,152.33999633789062,0,81002.79983520508
52,buy,154.5800018310547,0,79456.99981689453
53,buy,159.30999755859375,0,77863.8998413086
54,buy,156.07000732421875,0,76303.1997680664
56,buy,156.05999755859375,0,74742.59979248047
59,sell,160.86000061035156,-0.954376588145741,76351.19979858398
60,buy,162.38999938964844,0,74727.2998046875
61,sell,163.16000366210938,0.2088172967672211,76358.8998413086
62,sell,169.9499969482422,5.710015818761619,78058.39981079102
63,sell,169.0399932861328,4.313477385213278,79748.79974365234
64,sell,169.8800048828125,4.502957329081098,81447.59979248047
65,sell,167.64999389648438,1.630690514751935,83124.09973144531
66,sell,168.2899932861328,2.5970825693706066,84806.99966430664
67,sell,169.22000122070312,6.622137270641066,86499.19967651367
68,sell,169.82000732421875,5.635738446730015,88197.39974975586
69,sell,172.08999633789062,11.892063018996001,89918.29971313477
70,sell,172.44000244140625,11.763568568969998,91642.69973754883
71,sell,170.9199981689453,12.196404278390673,93351.89971923828
72,sell,170.52000427246094,10.311814110875465,95057.09976196289
73,sell,170.67999267578125,7.137025479525006,96763.8996887207
75,sell,169.1199951171875,8.361624386842498,98455.09963989258
76,sell,171.47999572753906,9.880814052400439,100169.89959716797
77,sell,168.99000549316406,4.064293446839154,101859.79965209961
82,buy,160.0399932861328,0,100259.39971923828
83,buy,156.8300018310547,0,98691.09970092773
87,buy,159.1199951171875,0,97099.89974975586
91,buy,157.1999969482422,0,95527.89978027344
92,buy,153.50999450683594,0,93992.79983520508
93,buy,155.7100067138672,0,92435.6997680664
94,buy,154.00999450683594,0,90895.59982299805
96,buy,152.44000244140625,0,89371.19979858398
99,buy,154.55999755859375,0,87825.59982299805
100,buy,154.0800018310547,0,86284.7998046875
101,buy,153.1199951171875,0,84753.59985351562
102,buy,150.6199951171875,0,83247.39990234375
104,buy,156.25999450683594,0,81684.79995727539
105,buy,155.50999450683594,0,80129.70001220703
106,sell,155.7899932861328,-2.6555862148791123,81687.59994506836
108,buy,159.24000549316406,0,80095.19989013672
109,sell,158.86000061035156,1.294394411525732,81683.79989624023
110,buy,157.3300018310547,0,80110.49987792969
111,buy,158.50999450683594,0,78525.39993286133
112,sell,157.08999633789062,-1.2757659889329664,80096.29989624023
114,buy,157.25999450683594,0,78523.69995117188
115,sell,153.67999267578125,-2.2391885119564554,80060.49987792969
117,buy,152.63999938964844,0,78534.0998840332
118,buy,151.35000610351562,0,77020.59982299805
120,buy,153.52999877929688,0,75485.29983520508
121,buy,154.9199981689453,0,73936.09985351562
122,sell,156.24000549316406,1.7783929933021758,75498.49990844727
123,sell,157.35000610351562,1.0532395600381044,77071.99996948242
124,buy,157.2100067138672,0,75499.89990234375
127,buy,154.22000122070312,0,73957.69989013672
128,buy,155.25,0,72405.19989013672
130,sell,159.63999938964844,3.6556100796189597,74001.5998840332
131,buy,157.50999450683594,0,72426.49993896484
133,buy,153.44000244140625,0,70892.09991455078
134,buy,153.75,0,69354.59991455078
135,sell,154.69000244140625,1.475990530021697,70901.49993896484
136,buy,156.39999389648438,0,69337.5
137,buy,158.69000244140625,0,67750.59997558594
138,sell,161.82000732421875,4.697211361479692,69368.80004882812
139,sell,162.55999755859375,5.503631637308254,70994.40002441406
142,buy,158.8699951171875,0,69405.70007324219
143,sell,163.66000366210938,6.883495873191009,71042.30010986328
144,sell,162.3000030517578,7.754619780383652,72665.30014038086
145,sell,159.72999572753906,2.2206587371608553,74262.60009765625
146,sell,159.6699981689453,2.67507157678313,75859.3000793457
149,sell,159.64999389648438,0.2574657053361586,77455.80001831055
150,buy,159.86000061035156,0,75857.20001220703
152,sell,164.14999389648438,4.334832508775525,77498.69995117188
153,sell,164.02999877929688,3.482432946663739,79138.99993896484
154,sell,159.24000549316406,1.2590684570080255,80731.39999389648
160,buy,159.25,0,79138.89999389648
162,sell,159.1199951171875,4.245280236799133,80730.09994506836
163,buy,160.2100067138672,0,79127.99987792969
164,buy,159.9600067138672,0,77528.39981079102
166,buy,161.10000610351562,0,75917.39974975586
167,buy,164.3000030517578,0,74274.39971923828
168,sell,166.4600067138672,9.983481996041082,75938.99978637695
169,sell,166.6300048828125,8.532538401402064,77605.29983520508
170,sell,166.63999938964844,7.565195816696358,79271.69982910156
171,sell,167.2100067138672,6.360918244982123,80943.79989624023
172,buy,163.75999450683594,0,79306.19995117188
173,sell,166.80999755859375,8.163659861390595,80974.29992675781
174,sell,166.1999969482422,7.053138130912842,82636.29989624023
175,sell,167.22999572753906,6.17103774978627,84308.59985351562
176,sell,166.5,8.51146855500145,85973.59985351562
177,sell,167.22000122070312,8.76097640370935,87645.79986572266
178,sell,167.1999969482422,6.905373064724,89317.79983520508
179,sell,166.69000244140625,5.04127536512823,90984.69985961914
181,sell,166.27999877929688,4.6641932963134565,92647.49984741211
182,sell,168.7100067138672,5.536097879223048,94334.59991455078
183,sell,167.8000030517578,5.368918713819663,96012.59994506836
184,sell,171.0399932861328,6.759868995953436,97722.99987792969
185,sell,170.58999633789062,6.645404587309202,99428.8998413086
187,sell,166.5399932861328,3.376776521735012,101094.29977416992
188,sell,166.92999267578125,1.6007240262770646,102763.59970092773
190,sell,163.89999389648438,0.08549059254065462,104402.59963989258
194,buy,161.10000610351562,0,102791.59957885742
196,buy,164.05999755859375,0,101150.99960327148
198,sell,167.58999633789062,4.028547478890115,102826.89956665039
199,sell,168.9199981689453,2.962331270677864,104516.09954833984
207,buy,146.08999633789062,0,103055.19958496094
209,buy,143.97999572753906,0,101615.39962768555
211,buy,147.61000061035156,0,100139.29962158203
212,buy,147.0,0,98669.29962158203
213,buy,144.41000366210938,0,97225.19958496094
215,buy,141.94000244140625,0,95805.79956054688
216,buy,142.9499969482422,0,94376.29959106445
218,sell,145.0500030517578,-0.7118853530035134,95826.79962158203
219,buy,145.55999755859375,0,94371.1996459961
221,buy,144.4600067138672,0,92926.59957885742
222,buy,144.3800048828125,0,91482.7995300293
223,buy,144.0399932861328,0,90042.39959716797
224,buy,144.3300018310547,0,88599.09957885742
225,buy,144.89999389648438,0,87150.09963989258
227,sell,145.50999450683594,1.062646773647759,88605.19958496094
228,buy,143.91000366210938,0,87166.09954833984
230,sell,144.80999755859375,-1.8968925141793234,88614.19952392578
231,buy,144.8699951171875,0,87165.4995727539
232,sell,142.86000061035156,-2.8163261154071004,88594.09957885742
233,sell,142.52999877929688,-1.301852250631706,90019.39956665039
234,buy,142.4199981689453,0,88595.19958496094
235,sell,144.30999755859375,1.6697161310574509,90038.29956054688
236,sell,144.35000610351562,0.9793698392175118,91481.79962158203
238,sell,144.61000061035156,-0.6526497418082022,92927.89962768555
240,sell,149.35000610351562,3.385019494934739,94421.3996887207
241,sell,149.67999267578125,3.6708599624099882,95918.19961547852
242,sell,151.63999938964844,5.276316618828461,97434.599609375
243,sell,150.25,4.1017100352253575,98937.099609375
244,sell,150.7100067138672,4.009670850320013,100444.19967651367
245,sell,151.0500030517578,4.961433679351893,101954.69970703125
246,sell,152.41000366210938,5.204672326262349,103478.79974365234
247,sell,151.91000366210938,6.663393916005091,104997.89978027344
