day,operation,price,investment,total balance
0,buy,424.2900085449219,0,95757.09991455078
1,buy,423.4800109863281,0,91522.2998046875
2,buy,414.7300109863281,0,87374.99969482422
3,sell,426.4700012207031,0.5137977873335763,91639.69970703125
4,buy,428.2000122070313,0,87357.69958496094
6,sell,433.4800109863281,2.361386544953794,91692.49969482422
7,sell,436.0899963378906,5.150335106148527,96053.39965820312
8,sell,439.6300048828125,2.669311618388017,100449.69970703125
10,buy,425.989990234375,0,96189.7998046875
11,buy,408.6000061035156,0,92103.79974365234
13,buy,409.3399963378906,0,88010.39978027344
14,buy,416.6700134277344,0,83843.6996459961
15,buy,413.6400146484375,0,79707.29949951172
16,sell,421.2000122070313,-1.1244344085898121,83919.29962158203
17,sell,418.1799926757813,2.344587966021387,88101.09954833984
18,sell,420.6000061035156,2.7507719417504464,92307.099609375
19,buy,422.8399963378906,0,88078.6996459961
20,sell,426.989990234375,2.476774539579504,92348.59954833984
21,buy,406.5499877929688,0,88283.09967041016
22,sell,406.05999755859375,-1.8325154292159542,92343.6996459961
23,buy,410.2300109863281,0,88241.39953613281
25,buy,407.6900024414063,0,84164.49951171875
26,sell,408.010009765625,-3.5072336346382453,88244.599609375
30,sell,410.0400085449219,0.8584481261207967,92344.99969482422
31,buy,402.9599914550781,0,88315.39978027344
32,sell,433.30999755859375,5.626108757078433,92648.49975585938
33,sell,427.1700134277344,4.778142919785667,96920.19989013672
35,sell,425.0499877929688,5.481932898133206,101170.6997680664
38,buy,419.239990234375,0,96978.29986572266
40,sell,421.3399963378906,0.5009078695812444,101191.69982910156
43,buy,418.1499938964844,0,97010.19989013672
45,sell,421.4200134277344,0.7820207052447103,101224.40002441406
46,buy,395.9299926757813,0,97265.10009765625
47,buy,398.2200012207031,0,93282.90008544922
48,buy,402.4500122070313,0,89258.3999633789
49,buy,390.4800109863281,0,85353.59985351562
50,buy,391.1099853515625,0,81442.5
51,buy,385.5,0,77587.5
53,sell,402.5899963378906,1.6821164815273428,81613.3999633789
54,buy,394.9700012207031,0,77663.69995117188
55,buy,391.8500061035156,0,73745.19989013672
56,buy,386.5,0,69880.19989013672
57,sell,393.010009765625,-1.308319883257351,73810.29998779297
58,buy,395.3500061035156,0,69856.79992675781
59,buy,400.7900085449219,0,65848.8998413086
61,sell,412.8800048828125,2.5916243904636085,69977.69989013672
62,sell,414.989990234375,6.276884490485492,74127.59979248047
63,buy,397.6600036621094,0,70150.99975585938
64,buy,373.8200073242188,0,66412.79968261719
66,buy,377.3299865722656,0,62639.49981689453
67,buy,380.8299865722656,0,58831.199951171875
68,buy,384.3900146484375,0,54987.2998046875
69,sell,384.739990234375,-1.6286966213510539,58834.69970703125
70,sell,387.7699890136719,0.5888428051029507,62712.39959716797
71,buy,391.4200134277344,0,58798.199462890625
74,sell,390.3599853515625,-1.167181268170445,62701.79931640625
76,buy,388.0400085449219,0,58821.39923095703
77,buy,379.4700012207031,0,55026.69921875
79,buy,371.8500061035156,0,51308.199157714844
81,buy,382.1199951171875,0,47486.99920654297
82,sell,383.7999877929688,-2.0543621756178387,51324.999084472656
83,sell,382.2200012207031,-1.107373552211352,55147.19909667969
84,sell,373.5899963378906,-5.503986196961766,58883.099060058594
88,buy,380.3900146484375,0,55079.19891357422
89,buy,372.7900085449219,0,51351.298828125
90,buy,373.9800109863281,0,47611.49871826172
91,buy,370.2099914550781,0,43909.39880371094
94,buy,370.5199890136719,0,40204.19891357422
95,buy,363.5499877929688,0,36568.69903564453
96,buy,360.5,0,32963.69903564453
97,buy,360.4800109863281,0,29358.89892578125
98,buy,354.0799865722656,0,25818.099060058594
99,buy,354.8800048828125,0,22269.29901123047
100,buy,357.2099914550781,0,18697.199096679688
101,buy,350.6300048828125,0,15190.899047851562
102,buy,345.9800109863281,0,11731.098937988281
103,buy,352.57000732421875,0,8205.398864746094
104,buy,371.0700073242188,0,4494.698791503906
105,buy,363.6499938964844,0,858.1988525390625
107,sell,381.8200073242188,-4.73315222841361,4676.39892578125
109,buy,378.8699951171875,0,887.698974609375
110,sell,387.1300048828125,-2.6479904145060025,4758.9990234375
112,sell,399.0499877929688,6.749232243973427,8749.498901367188
114,sell,407.6300048828125,8.030111411445924,12825.798950195312
115,sell,407.9800109863281,7.129171906454,16905.599060058594
116,sell,416.5899963378906,8.376903785834077,21071.4990234375
117,sell,415.6900024414063,6.200497721395322,25228.399047851562
119,sell,410.1900024414063,5.708172716401797,29330.299072265625
120,sell,409.510009765625,7.9163065455206665,33425.399169921875
122,buy,401.6300048828125,0,29409.09912109375
123,buy,405.1900024414063,0,25357.199096679688
125,sell,404.6600036621094,8.823449514603505,29403.79913330078
126,buy,401.1700134277344,0,25392.098999023438
127,buy,405.2799987792969,0,21339.29901123047
128,sell,407.0899963378906,6.5345968648003865,25410.198974609375
129,sell,413.7999877929688,8.783083639934485,29548.198852539062
130,buy,407.6700134277344,0,25471.49871826172
132,sell,414.6099853515625,11.218105595123868,29617.598571777344
133,sell,420.6000061035156,12.465905595925506,33823.5986328125
134,sell,431.55999755859375,16.57167756666555,38139.19860839844
135,sell,436.1700134277344,17.718348904420395,42500.89874267578
136,sell,439.6300048828125,20.92697555890693,46897.198791503906
137,sell,436.9299926757813,21.2011075383582,51266.49871826172
138,sell,442.5899963378906,22.77795795858336,55692.398681640625
139,sell,446.3299865722656,26.053435240167783,60155.69854736328
140,sell,432.9500122070313,21.998987333760567,64485.198669433594
141,sell,428.6199951171875,19.99104318757269,68771.39862060547
142,sell,427.1099853515625,21.812160797337103,73042.4984741211
144,sell,433.4400024414063,25.278914584037715,77376.89849853516
145,sell,430.5299987792969,22.1119181539986,81682.19848632812
146,sell,423.9400024414063,14.247983958184166,85921.59851074219
148,sell,431.30999755859375,18.605803601737247,90234.69848632812
149,sell,430.4599914550781,13.616807084956262,94539.2984008789
150,sell,436.0899963378906,8.580034119993812,98900.19836425781
151,sell,434.5700073242188,7.2509204831777865,103245.8984375
152,sell,435.0700073242188,8.450281118180106,107596.59851074219
153,sell,437.6400146484375,7.98460717691694,111972.99865722656
156,sell,419.1600036621094,2.8184536158953404,116164.59869384766
157,buy,397.0199890136719,0,112194.39880371094
158,buy,390.7900085449219,0,108286.49871826172
159,buy,385.2099914550781,0,104434.39880371094
160,buy,394.2799987792969,0,100491.59881591797
161,buy,386.6400146484375,0,96625.1986694336
162,buy,390.2099914550781,0,92723.09875488281
163,buy,394.6900024414063,0,88776.19873046875
164,sell,404.1000061035156,1.7832898306790141,92817.1987915039
165,sell,413.2699890136719,5.7524450413797865,96949.89868164062
166,sell,410.9400024414063,6.67947653412015,101059.29870605469
167,sell,418.8999938964844,6.244292176476557,105248.29864501953
168,sell,414.4299926757813,7.187558704344807,109392.59857177734
171,buy,399.6600036621094,0,105395.99853515625
173,sell,402.260009765625,3.0880855371265143,109418.5986328125
175,sell,411.6799926757813,4.304641650227066,113535.39855957031
176,sell,412.1099853515625,3.115143265619069,117656.49841308594
180,buy,387.6400146484375,0,113780.09826660156
181,buy,380.8699951171875,0,109971.39831542969
182,buy,384.3900146484375,0,106127.49816894531
183,buy,379.6300048828125,0,102331.19812011719
185,sell,384.7300109863281,-0.7506974388979284,106178.49822998047
187,sell,373.8399963378906,-1.8457738518188758,109916.89819335938
188,buy,372.7799987792969,0,106189.0982055664
189,buy,377.0,0,102419.0982055664
190,buy,375.6900024414063,0,98662.19818115234
191,buy,378.5400085449219,0,94876.79809570312
192,sell,382.9400024414063,-0.3772242128499025,98706.19812011719
194,sell,389.3599853515625,2.56301671195709,102599.79797363281
196,buy,380.6600036621094,0,98793.19793701172
197,sell,390.5400085449219,4.764206723478143,102698.59802246094
198,buy,391.1199951171875,0,98787.39807128906
199,buy,382.2300109863281,0,94965.09796142578
203,buy,373.5700073242188,0,91229.3978881836
204,buy,371.9100036621094,0,87510.2978515625
205,buy,369.5400085449219,0,83814.89776611328
206,buy,361.1499938964844,0,80203.39782714844
208,buy,365.3599853515625,0,76549.79797363281
210,sell,373.55999755859375,-0.912467491089191,80285.39794921875
211,sell,382.2000122070313,1.7328142147302203,84107.39807128906
213,buy,369.239990234375,0,80414.99816894531
214,sell,369.3699951171875,-2.4224687538268905,84108.69812011719
215,buy,369.6199951171875,0,80412.49816894531
216,buy,373.989990234375,0,76672.59826660156
219,sell,380.8699951171875,0.05516509563860633,80481.29821777344
220,sell,378.55999755859375,-3.2112900683664916,84266.89819335938
221,sell,384.1499938964844,0.5023108743350153,88108.39813232422
222,sell,380.3299865722656,1.8095615588806835,91911.69799804688
224,buy,370.760009765625,0,88204.09790039062
226,buy,362.2099914550781,0,84581.99798583984
227,buy,360.0199890136719,0,80981.79809570312
229,buy,364.4100036621094,0,77337.69805908203
231,buy,368.9299926757813,0,73648.39813232422
232,sell,361.1400146484375,-2.895858919529551,77259.7982788086
233,sell,365.5400085449219,-1.0824267758584936,80915.19836425781
234,buy,361.2200012207031,0,77302.99835205078
236,sell,361.0299987792969,-0.03322583946156564,80913.29833984375
238,sell,377.010009765625,3.188642676031539,84683.3984375
239,sell,388.4200134277344,5.194459890756919,88567.59857177734
240,sell,386.0700073242188,4.450520108311742,92428.29864501953
241,sell,382.760009765625,2.3449877697940353,96255.89874267578
242,sell,393.9400024414063,6.252020731802893,100195.29876708984
243,sell,387.260009765625,6.915882747992505,104067.8988647461
244,sell,393.3399963378906,9.25504370340765,108001.298828125
245,sell,396.8200073242188,8.89382929568554,111969.49890136719
247,sell,401.6400146484375,8.86618670805711,115985.89904785156
248,sell,399.260009765625,10.530980681127806,119978.49914550781
