day,operation,price,investment,total balance
0,buy,89.12000274658203,0,99108.79997253418
1,buy,88.08000183105469,0,98227.99995422363
2,buy,86.19999694824219,0,97365.99998474121
3,buy,87.33999633789062,0,96492.6000213623
4,buy,88.0199966430664,0,95612.40005493164
5,buy,88.41999816894531,0,94728.20007324219
6,sell,91.5199966430664,2.6929912730241927,95643.40003967285
7,buy,91.12999725341795,0,94732.10006713867
9,sell,91.29000091552734,3.6444130537482513,95645.00007629395
11,sell,93.0500030517578,7.946643092839806,96575.50010681152
12,sell,98.0199966430664,12.228075054936186,97555.70007324219
13,sell,99.79000091552734,13.371966281923386,98553.60008239746
16,buy,97.5199966430664,0,97578.4001159668
17,buy,99.37000274658205,0,96584.70008850098
18,buy,96.94000244140624,0,95615.30006408691
20,buy,100.43000030517578,0,94611.00006103516
22,buy,104.77999877929688,0,93563.20007324219
24,sell,107.63999938964844,21.737165368381035,94639.60006713867
25,buy,99.37000274658205,0,93645.90003967285
26,buy,95.01000213623048,0,92695.80001831055
27,buy,94.56999969482422,0,91750.1000213623
28,buy,94.61000061035156,0,90804.00001525879
29,buy,94.68000030517578,0,89857.20001220703
30,buy,96.94000244140624,0,88887.79998779297
31,buy,95.51000213623048,0,87932.69996643066
32,sell,94.3499984741211,3.53341525046778,88876.19995117188
33,buy,91.79000091552734,0,87958.2999420166
34,buy,91.6500015258789,0,87041.79992675781
36,buy,89.12999725341797,0,86150.49995422363
37,buy,89.87000274658203,0,85251.79992675781
38,buy,90.05999755859375,0,84351.19995117188
39,sell,90.36000061035156,-7.342079859704255,85254.79995727539
40,buy,92.0,0,84334.79995727539
41,buy,93.6500015258789,0,83398.2999420166
43,sell,93.86000061035156,-5.544935074906201,84336.89994812012
44,buy,94.25,0,83394.39994812012
46,sell,90.62999725341795,-6.509186124481747,84300.6999206543
47,buy,91.11000061035156,0,83389.59991455078
48,buy,93.97000122070312,0,82449.89990234375
49,sell,96.11000061035156,-4.301503217860274,83410.99990844727
50,sell,100.31999969482422,-4.25653668298562,84414.19990539551
51,buy,101.62000274658205,0,83397.99987792969
54,buy,103.37000274658205,0,82364.29985046387
56,sell,105.44000244140624,6.1084829697591765,83418.69987487793
