day,operation,price,investment,total balance
0,buy,214.3000030517578,0,97856.99996948242
1,buy,210.0399932861328,0,95756.6000366211
2,buy,204.47000122070312,0,93711.90002441406
3,sell,210.2700042724609,-1.8805407008433763,95814.60006713867
4,buy,210.6699981689453,0,93707.90008544922
5,buy,211.33999633789065,0,91594.50012207031
6,sell,212.3000030517578,1.0759902103720975,93717.50015258789
7,sell,215.97999572753903,5.629184935746209,95877.30010986328
8,sell,216.6100006103516,2.8195768230095752,98043.4001159668
12,buy,202.02999877929688,0,96023.10012817383
13,buy,204.4600067138672,0,93978.50006103516
14,sell,206.92999267578125,-2.0866867315823567,96047.79998779297
15,buy,206.6699981689453,0,93981.10000610352
16,sell,209.3500061035156,3.623227920827391,96074.60006713867
17,sell,208.1300048828125,1.7949711671883657,98155.9001159668
22,sell,202.69000244140625,-1.9257733404950046,100182.80014038086
25,buy,202.22000122070312,0,98160.60012817383
26,buy,199.22000122070312,0,96168.4001159668
27,sell,200.47000122070312,-0.8653941199862066,98173.10012817383
30,buy,201.7100067138672,0,96156.00006103516
31,sell,199.3600006103516,0.07027376206737873,98149.60006713867
33,buy,196.75999450683597,0,96182.00012207031
35,buy,195.0200042724609,0,94231.8000793457
36,buy,192.0399932861328,0,92311.40014648438
37,buy,192.4499969482422,0,90386.90017700195
38,sell,191.47999572753903,-5.071642777167614,92301.70013427734
39,buy,192.8800048828125,0,90372.90008544922
40,buy,194.4499969482422,0,88428.4001159668
42,buy,197.0399932861328,0,86458.00018310547
46,buy,193.3300018310547,0,84524.70016479492
47,buy,193.1000061035156,0,82593.70010375977
48,buy,192.97000122070312,0,80664.00009155273
49,buy,188.1199951171875,0,78782.80014038086
50,buy,189.13999938964844,0,76891.40014648438
51,buy,184.63999938964844,0,75045.00015258789
52,buy,189.8800048828125,0,73146.20010375977
53,buy,191.16000366210935,0,71234.60006713867
54,buy,187.16000366210935,0,69363.00003051758
58,buy,187.9199981689453,0,67483.80004882812
59,buy,189.07000732421875,0,65593.09997558594
60,buy,189.1199951171875,0,63701.90002441406
62,buy,193.27999877929688,0,61769.100036621094
64,buy,189.42999267578125,0,59874.80010986328
66,buy,191.67999267578125,0,57958.00018310547
67,buy,192.19000244140625,0,56036.100158691406
68,buy,193.22999572753903,0,54103.800201416016
70,buy,196.5500030517578,0,52138.30017089844
71,sell,197.8600006103516,0.5590598364635592,54116.90017700195
72,sell,196.92999267578125,0.9793807617047897,56086.200103759766
74,buy,196.75,0,54118.700103759766
76,sell,196.77999877929688,2.468238730930188,56086.500091552734
77,sell,195.9600067138672,1.8238554540320349,58046.100158691406
79,sell,198.6100006103516,2.970756730859918,60032.20016479492
80,sell,199.83999633789065,2.7719205318800553,62030.60012817383
81,sell,200.47999572753903,1.7458397069729907,64035.40008544922
82,sell,198.25999450683597,2.550040153669192,66018.00003051758
83,sell,197.9600067138672,2.5168308942187596,67997.60009765625
84,sell,196.22000122070312,1.684199605866675,69959.80010986328
86,sell,196.9499969482422,4.693813555307677,71929.3000793457
87,sell,197.1300048828125,4.2243869720565055,73900.60012817383
88,sell,197.33999633789065,6.878247936646289,75874.00009155273
89,buy,193.97999572753903,0,73934.20013427734
90,sell,193.6199951171875,1.9696598579103657,75870.40008544922
91,buy,194.30999755859372,0,73927.30010986328
93,buy,196.0200042724609,0,71967.10006713867
94,sell,198.25,3.708932936841114,73949.60006713867
95,sell,197.3500061035156,5.44454062941933,75923.10012817383
99,buy,192.2700042724609,0,74000.40008544922
101,buy,194.5500030517578,0,72054.90005493164
102,buy,191.6000061035156,0,70138.89999389648
103,sell,193.8600006103516,3.1609208702024625,72077.5
104,sell,198.8500061035156,5.17268651845241,74066.00006103516
105,buy,197.17999267578125,0,72094.20013427734
106,buy,196.33999633789065,0,70130.80017089844
107,sell,198.38999938964844,4.901652131873636,72114.70016479492
111,sell,201.1100006103516,4.051118522613228,74125.80017089844
112,buy,200.5200042724609,0,72120.60012817383
113,buy,203.72999572753903,0,70083.30017089844
114,sell,202.97000122070312,7.147763853898398,72113.00018310547
115,sell,200.3999938964844,4.549249558587303,74117.00012207031
118,sell,200.08999633789065,4.11051240758109,76117.90008544922
119,sell,202.5800018310547,4.838796413730447,78143.70010375977
121,sell,202.5,3.0272179373486785,80168.70010375977
122,sell,206.47000122070312,4.940280163000318,82233.4001159668
123,sell,207.5,6.969793056110245,84308.4001159668
125,sell,206.42999267578125,6.237453177638362,86372.70004272461
126,sell,204.00999450683597,4.0761096113788735,88412.79998779297
128,sell,207.7400054931641,8.045977467593456,90490.20004272461
129,sell,208.72999572753903,7.28861087296349,92577.5
130,buy,208.5200042724609,0,90492.29995727539
131,sell,208.7100067138672,8.930062664563582,92579.40002441406
132,sell,206.13999938964844,4.544074980568607,94640.80001831055
133,sell,208.1699981689453,6.025263345067939,96722.5
134,buy,205.25,0,94670.0
136,sell,207.9600067138672,3.710354220468205,96749.60006713867
137,sell,208.6000061035156,2.3904238345390896,98835.60012817383
138,sell,209.32000732421875,0.383657699676873,100928.80020141602
140,sell,208.25999450683597,1.4665015867653914,103011.40014648438
142,buy,195.19000244140625,0,101059.50012207031
143,sell,194.1300048828125,-0.5430593500361008,103000.80017089844
144,buy,193.47999572753903,0,101066.00021362305
145,buy,192.8999938964844,0,99137.0002746582
146,sell,190.50999450683597,-1.5350430464581264,101042.10021972656
147,sell,189.2100067138672,-1.9129016585647833,102934.20028686523
150,buy,189.2400054931641,0,101041.8002319336
155,buy,186.4900054931641,0,99176.90017700195
156,buy,185.97999572753903,0,97317.10021972656
157,buy,186.5800018310547,0,95451.30020141602
158,buy,186.9499969482422,0,93581.8002319336
160,buy,187.0800018310547,0,91711.00021362305
162,buy,186.3000030517578,0,89848.00018310547
164,buy,189.5200042724609,0,87952.80014038086
166,buy,187.94000244140625,0,86073.4001159668
169,buy,184.50999450683597,0,84228.30017089844
170,buy,184.1199951171875,0,82387.10021972656
171,buy,184.5200042724609,0,80541.90017700195
172,buy,186.2100067138672,0,78679.80010986328
174,sell,191.58999633789065,1.24180446867058,80595.70007324219
175,sell,193.55999755859372,3.7910836276364344,82531.30004882812
181,buy,189.77999877929688,0,80633.50006103516
182,sell,191.8600006103516,3.161632980907674,82552.10006713867
183,buy,187.88999938964844,0,80673.20007324219
184,buy,187.8800048828125,0,78794.40002441406
185,sell,187.1100006103516,0.28405979960103606,80665.50003051758
186,sell,184.7400054931641,-1.1821297090953904,82512.90008544922
187,buy,182.6100006103516,0,80686.8000793457
189,sell,182.5,-2.4481514786335765,82511.8000793457
192,sell,186.5200042724609,0.11808975689709245,84377.00012207031
196,buy,183.55999755859372,0,82541.40014648438
197,buy,186.22999572753903,0,80679.10018920898
199,buy,183.47000122070312,0,78844.40017700195
200,buy,182.2700042724609,0,77021.70013427734
201,buy,181.32000732421875,0,75208.50006103516
202,buy,180.5200042724609,0,73403.30001831055
203,buy,181.4600067138672,0,71588.69995117188
204,buy,178.08999633789062,0,69807.79998779297
205,buy,176.05999755859375,0,68047.20001220703
206,buy,177.0,0,66277.20001220703
208,buy,183.25999450683597,0,64444.60006713867
209,buy,183.9900054931641,0,62604.70001220703
211,sell,188.9900054931641,-0.27965321198224147,64494.60006713867
215,buy,183.67999267578125,0,62657.80014038086
216,buy,186.7100067138672,0,60790.70007324219
217,buy,186.50999450683597,0,58925.60012817383
218,sell,190.2400054931641,1.2237964360327753,60828.00018310547
219,buy,189.5500030517578,0,58932.50015258789
220,buy,190.7100067138672,0,57025.40008544922
221,sell,191.2100067138672,3.6312462232407636,58937.50015258789
225,sell,193.41000366210935,5.045627194921987,60871.600189208984
226,sell,192.97000122070312,4.579447622256182,62801.300201416016
227,sell,194.2700042724609,4.328444910578207,64744.000244140625
228,sell,194.25999450683597,2.3606258596033958,66686.60018920898
229,sell,195.9199981689453,4.273776574262567,68645.80017089844
230,sell,197.77999877929688,5.269317457522612,70623.6001586914
231,sell,198.3600006103516,8.62493836446939,72607.20016479492
232,sell,196.9499969482422,7.294617328252186,74576.70013427734
233,sell,197.7899932861328,6.207376804919471,76554.60006713867
234,sell,197.7899932861328,7.805086373877339,78532.5
235,sell,194.6100006103516,6.770173944498627,80478.60000610352
236,sell,200.38999938964844,10.517312648973473,82482.5
237,sell,201.50999450683597,11.62751481143033,84497.59994506836
238,sell,203.0800018310547,11.914468377199338,86528.3999633789
239,sell,203.41000366210935,14.217534867134818,88562.5
240,sell,203.3999938964844,15.528795136323769,90596.49993896484
