day,operation,price,investment,total balance
10,buy,108.79000091552734,0,98912.09999084473
11,buy,109.9000015258789,0,97813.09997558594
12,buy,109.94000244140624,0,96713.69995117188
15,buy,108.58999633789062,0,95627.79998779297
16,buy,106.87000274658205,0,94559.09996032715
17,buy,105.37999725341795,0,93505.29998779297
18,buy,106.08999633789062,0,92444.40002441406
20,buy,106.9800033569336,0,91374.59999084473
21,buy,103.45999908447266,0,90340.0
22,buy,102.94000244140624,0,89310.59997558594
23,buy,104.02999877929688,0,88270.29998779297
24,buy,105.68000030517578,0,87213.49998474121
28,sell,109.5500030517578,0.6985955784857256,88309.00001525879
29,buy,108.73999786376952,0,87221.6000366211
30,buy,107.68000030517578,0,86144.80003356934
32,buy,109.5199966430664,0,85049.60006713867
33,sell,109.06999969482422,-0.7552336847413431,86140.30006408691
34,buy,109.16000366210938,0,85048.70002746582
35,sell,110.58999633789062,0.5912260160543573,86154.59999084473
37,buy,109.36000061035156,0,85060.99998474121
38,buy,106.23999786376952,0,83998.60000610352
39,buy,106.6500015258789,0,82932.09999084473
40,sell,107.01000213623048,-1.4550089832803779,84002.20001220703
41,buy,106.87999725341795,0,82933.40003967285
42,buy,111.0999984741211,0,81822.40005493164
44,buy,108.27999877929688,0,80739.60006713867
45,buy,107.5999984741211,0,79663.60008239746
46,buy,107.69000244140624,0,78586.7000579834
47,buy,105.7300033569336,0,77529.40002441406
49,sell,107.62999725341795,0.7111392227041142,78605.69999694824
50,sell,107.33999633789062,1.8599346513164754,79679.09996032715
51,buy,104.0999984741211,0,78638.09997558594
52,buy,105.8499984741211,0,77579.59999084473
54,buy,104.4000015258789,0,76535.59997558594
55,buy,104.2300033569336,0,75493.2999420166
58,buy,105.52999877929688,0,74437.99995422363
59,buy,104.91999816894533,0,73388.79997253418
61,buy,106.38999938964844,0,72324.8999786377
62,buy,108.87000274658205,0,71236.19995117188
65,sell,112.33000183105467,5.881803853861946,72359.49996948242
66,sell,112.61000061035156,5.262663186346851,73485.59997558594
67,sell,112.48999786376952,8.728009722795454,74610.49995422363
68,sell,113.75,10.501260250840627,75747.99995422363
69,sell,115.58000183105467,11.102569631151797,76903.79997253418
70,sell,115.30999755859376,9.112412211969254,78056.89994812012
72,sell,114.83000183105467,5.600518748321818,79205.19996643066
73,sell,114.12999725341795,5.989967431242796,80346.49993896484
74,sell,114.16999816894533,4.245801377289676,81488.1999206543
75,sell,115.37000274658205,5.688896002326014,82641.89994812012
76,sell,115.94000244140624,6.016826805350107,83801.29997253418
77,sell,116.52999877929688,9.68561852638789,84966.59996032715
78,sell,113.43000030517578,6.357242083725325,86100.8999633789
79,sell,115.16000366210938,7.747012183261102,87252.5
80,sell,115.47000122070312,3.9333958655273533,88407.20001220703
81,sell,116.33999633789062,7.44366240252934,89570.59997558594
82,sell,117.88999938964844,9.563198012500154,90749.49996948242
83,sell,118.22000122070312,9.7780653176475,91931.69998168945
84,sell,117.37000274658205,11.009173385110953,93105.40000915527
85,sell,117.68000030517578,13.045150845444661,94282.20001220703
86,sell,118.37999725341795,11.837504921986634,95465.99998474121
87,sell,117.43000030517578,12.480841560205311,96640.29998779297
88,sell,117.9000015258789,13.115223763480726,97819.30000305176
89,sell,117.5500030517578,11.390130210841086,98994.80003356934
90,sell,117.13999938964844,11.64697048605176,100166.20002746582
91,sell,116.37000274658205,9.380584090786869,101329.90005493164
92,sell,116.08000183105467,6.622576377861793,102490.70007324219
95,buy,115.48999786376952,0,101335.80009460449
96,sell,114.48999786376952,-0.8658758494216848,102480.70007324219
98,buy,113.5999984741211,0,101344.70008850098
99,sell,112.3000030517578,-1.1443621829444337,102467.70011901855
101,buy,109.16999816894533,0,101376.0001373291
102,buy,110.41000366210938,0,100271.90010070801
107,buy,108.61000061035156,0,99185.80009460449
108,buy,110.31999969482422,0,98082.60009765625
109,buy,110.70999908447266,0,96975.50010681152
112,buy,108.66000366210938,0,95888.90007019043
113,buy,109.4000015258789,0,94794.90005493164
114,buy,109.31999969482422,0,93701.7000579834
115,buy,110.2300033569336,0,92599.40002441406
117,sell,113.72000122070312,4.167814535195348,93736.6000366211
118,sell,114.5999984741211,3.79494128524302,94882.6000213623
119,sell,113.08000183105467,4.115644227587894,96013.40003967285
120,sell,113.31999969482422,2.719361863940205,97146.6000366211
121,sell,112.44000244140624,1.5626441796043846,98271.00006103516
122,sell,113.54000091552734,4.491070392922933,99406.40007019043
124,sell,114.33000183105467,4.506398753577312,100549.70008850098
125,sell,113.6999969482422,4.006583667805622,101686.7000579834
126,sell,111.75,1.3789318668026664,102804.2000579834
127,buy,109.0,0,101714.2000579834
130,buy,107.47000122070312,0,100639.50004577637
132,buy,107.33999633789062,0,99566.10008239746
133,buy,105.56999969482422,0,98510.40008544922
135,buy,105.9499969482422,0,97450.9001159668
138,sell,108.79000091552734,-0.1926597105253727,98538.80012512207
140,sell,107.13999938964844,-0.30706413632301666,99610.20011901855
