day,operation,price,investment,total balance
11,buy,104.26000213623048,0,98957.3999786377
12,sell,105.04000091552734,0.7481284896557759,100007.79998779297
22,buy,104.3000030517578,0,98964.79995727539
23,buy,105.0199966430664,0,97914.59999084473
24,sell,106.83000183105467,2.4256938689075485,98982.90000915527
25,sell,106.3000030517578,1.2188216050337308,100045.90003967285
33,buy,104.77999877929688,0,98998.10005187988
34,buy,104.7699966430664,0,97950.40008544922
35,buy,103.51000213623048,0,96915.30006408691
36,buy,101.5999984741211,0,95899.3000793457
37,buy,102.44000244140624,0,94874.90005493164
38,buy,102.08999633789062,0,93854.00009155273
39,buy,101.43000030517578,0,92839.70008850098
40,buy,103.01000213623048,0,91809.60006713867
41,sell,104.5500030517578,-0.21950346461019504,92855.10009765625
42,sell,104.98999786376952,0.20998494583579838,93905.00007629395
44,buy,102.5,0,92880.00007629395
45,buy,100.3000030517578,0,91877.00004577637
46,buy,99.37999725341795,0,90883.20007324219
47,buy,99.08000183105467,0,89892.40005493164
48,buy,99.45999908447266,0,88897.80006408691
49,buy,99.33999633789062,0,87904.40010070801
50,buy,100.43000030517578,0,86900.10009765625
51,buy,98.6999969482422,0,85913.10012817383
52,buy,99.8499984741211,0,84914.60014343262
54,buy,99.12000274658205,0,83923.4001159668
55,buy,98.41999816894533,0,82939.20013427734
56,buy,98.33999633789062,0,81955.80017089844
57,buy,98.66000366210938,0,80969.20013427734
58,buy,98.72000122070312,0,79982.00012207031
59,buy,100.62000274658205,0,78975.80009460449
60,buy,101.31999969482422,0,77962.60009765625
61,buy,104.12999725341795,0,76921.30012512207
62,sell,104.8499984741211,1.294557347344104,77969.80010986328
63,buy,104.0,0,76929.80010986328
64,sell,104.9000015258789,3.2480345485422113,77978.80012512207
65,sell,104.68000030517578,2.186643704006921,79025.60012817383
66,sell,104.73999786376952,2.595750436808808,80073.00010681152
67,sell,105.73999786376952,4.2492335064833915,81130.40008544922
68,sell,105.5999984741211,2.5143153909125706,82186.40007019043
69,sell,106.98999786376952,4.380485720750748,83256.30004882812
70,sell,107.47000122070312,7.148552293907104,84331.00006103516
71,sell,108.30999755859376,8.98571196616599,85414.1000366211
72,sell,107.91000366210938,8.911991994218061,86493.20007324219
73,sell,107.16000366210938,7.741810424809079,87564.80010986328
74,sell,107.0500030517578,7.761231123507092,88635.30014038086
75,sell,108.19000244140624,7.726776971672013,89717.20016479492
76,sell,109.29000091552734,10.72948763396466,90810.1001739502
77,sell,109.33999633789062,9.504254390378513,91903.5001373291
78,sell,111.47000122070312,12.459642990220704,93018.20014953613
79,sell,112.75,14.560050901907301,94145.70014953613
80,sell,114.29000091552734,16.21924463250274,95288.6001586914
81,sell,114.55999755859376,16.115946996047825,96434.20013427734
82,sell,114.45999908447266,15.944081917686006,97578.80012512207
83,buy,103.95999908447266,0,96539.20013427734
84,buy,104.72000122070312,0,95492.00012207031
85,sell,107.20999908447266,6.549389940375912,96564.10011291504
86,sell,107.16999816894533,5.773784535867844,97635.80009460449
87,sell,106.70999908447266,2.4776739643772685,98702.90008544922
88,sell,106.97000122070312,2.855770404522236,99772.60009765625
90,sell,106.12000274658205,2.0777257417579227,100833.80012512207
91,sell,106.63999938964844,1.8334588870934136,101900.20011901855
92,buy,105.27999877929688,0,100847.40013122559
93,sell,105.69000244140624,0.3894411729324481,101904.30015563965
96,buy,102.9000015258789,0,100875.30014038086
97,buy,100.33999633789062,0,99871.90017700195
98,buy,99.61000061035156,0,98875.80017089844
99,buy,98.44000244140624,0,97891.40014648438
100,buy,98.52999877929688,0,96906.1001586914
101,buy,97.75,0,95928.6001586914
102,buy,97.63999938964844,0,94952.20016479492
106,buy,98.22000122070312,0,93970.00015258789
107,buy,97.91999816894533,0,92990.80017089844
108,buy,99.1500015258789,0,91999.30015563965
109,buy,97.95999908447266,0,91019.70016479492
111,buy,99.26000213623048,0,90027.10014343262
112,buy,100.66000366210938,0,89020.50010681152
114,sell,101.87000274658205,-1.000970616154773,90039.20013427734
115,buy,101.2699966430664,0,89026.50016784668
116,sell,101.87000274658205,1.5248220694957868,90045.2001953125
117,sell,100.8499984741211,1.2448527820214363,91053.70018005371
118,buy,98.33999633789062,0,90070.3002166748
119,buy,98.2300033569336,0,89088.00018310547
120,buy,98.72000122070312,0,88100.80017089844
121,buy,98.61000061035156,0,87114.70016479492
122,sell,98.68000030517578,0.24380115584860712,88101.50016784668
123,buy,99.05999755859376,0,87110.90019226074
124,buy,99.1500015258789,0,86119.40017700195
125,buy,98.45999908447266,0,85134.80018615723
126,buy,96.1999969482422,0,84172.8002166748
127,buy,96.0500030517578,0,83212.30018615723
128,sell,99.12999725341795,0.6089500472491137,84203.6001586914
129,sell,100.08999633789062,2.3938581461796673,85204.50012207031
130,sell,101.13999938964844,3.5845964992612047,86215.9001159668
131,sell,101.5999984741211,3.441251487895036,87231.90010070801
132,sell,101.61000061035156,3.768384916674248,88248.00010681152
133,sell,100.93000030517578,1.7952584487175036,89257.30010986328
134,sell,100.76000213623048,2.8583126561111274,90264.90013122559
135,sell,101.83000183105467,2.5891594192159757,91283.20014953613
136,sell,100.87999725341795,0.21855114574309314,92292.00012207031
137,sell,102.81999969482422,1.5305649285453349,93320.20011901855
138,sell,102.77999877929688,4.514950789860368,94348.00010681152
139,sell,102.91999816894533,4.774503361228572,95377.20008850098
140,sell,101.7300033569336,3.0490296789007982,96394.50012207031
141,sell,100.77999877929688,2.2005863051556633,97402.30010986328
142,sell,101.25,2.2107838636992234,98414.80010986328
143,sell,101.56999969482422,2.440744459609186,99430.50010681152
144,sell,101.26000213623048,2.843797560220974,100443.10012817383
145,sell,102.12999725341795,6.164241677020248,101464.40010070801
146,sell,102.33000183105467,6.538259843586696,102487.70011901855
148,buy,101.73999786376952,0,101470.30014038086
149,sell,100.6999969482422,-1.0222144066878034,102477.30010986328
150,buy,99.91999816894533,0,101478.10012817383
151,sell,101.66000366210938,1.7413986439651818,102494.70016479492
155,buy,98.9800033569336,0,101504.90013122559
157,sell,97.2300033569336,-1.7680338862884184,102477.20016479492
158,buy,96.45999908447266,0,101512.6001739502
159,buy,96.06999969482422,0,100551.90017700195
160,sell,95.18000030517578,-1.3269736589733379,101503.70018005371
161,buy,94.83000183105467,0,100555.40016174316
162,buy,95.4800033569336,0,99600.60012817383
163,sell,97.04000091552734,1.0096817151914532,100571.0001373291
164,sell,99.1500015258789,4.5555199951599405,101562.50015258789
165,sell,99.23999786376952,3.937991594721576,102554.90013122559
166,buy,97.44000244140624,0,101580.50010681152
167,buy,98.0,0,100600.50010681152
168,buy,96.83999633789062,0,99632.10014343262
169,buy,95.9499969482422,0,98672.6001739502
170,buy,95.0999984741211,0,97721.60018920898
171,buy,95.27999877929688,0,96768.80020141602
172,buy,95.66999816894533,0,95812.10021972656
173,sell,96.23999786376952,-1.231531760642473,96774.50019836426
174,sell,96.93000030517578,-1.0918364232900193,97743.80020141602
