day,operation,price,investment,total balance
10,buy,110.61000061035156,0,98893.89999389648
12,sell,113.3499984741211,2.477170100940317,100027.3999786377
19,buy,116.01000213623048,0,98867.29995727539
21,sell,111.1500015258789,-4.189294475354358,99978.79997253418
23,buy,111.7300033569336,0,98861.49993896484
24,sell,114.91999816894533,2.855092379994789,100010.6999206543
26,buy,114.3499984741211,0,98867.19993591309
27,buy,119.16999816894533,0,97675.49995422363
28,sell,117.8000030517578,3.0170569511791343,98853.49998474121
29,sell,116.41999816894533,-2.307627794120942,100017.69996643066
34,buy,109.7300033569336,0,98920.39993286133
36,sell,110.75,0.9295512729991682,100027.89993286133
37,buy,110.5500030517578,0,98922.39990234375
38,buy,109.91000366210938,0,97823.29986572266
39,buy,110.88999938964844,0,96714.39987182617
40,sell,111.4000015258789,0.7688814569486279,97828.39988708496
41,sell,112.80999755859376,2.6385167863333803,98956.4998626709
44,buy,109.9800033569336,0,97856.69982910156
45,buy,109.12999725341795,0,96765.39985656738
46,buy,107.77999877929688,0,95687.59986877441
47,buy,106.54000091552734,0,94622.19985961914
48,buy,106.94000244140624,0,93552.79983520508
49,buy,101.62000274658205,0,92536.59980773926
50,buy,101.02999877929688,0,91526.29981994629
51,buy,99.83999633789062,0,90527.89985656738
52,buy,102.4499969482422,0,89503.39988708496
53,sell,107.04000091552734,-3.4719077421876965,90573.79989624023
54,buy,104.58999633789062,0,89527.89993286133
55,buy,103.41000366210938,0,88493.79989624023
56,buy,103.52999877929688,0,87458.49990844727
57,sell,105.8000030517578,-3.8006911962075978,88516.49993896484
58,sell,107.12000274658205,-1.8418350200892688,89587.69996643066
60,buy,109.48999786376952,0,88492.79998779297
62,sell,116.12999725341795,7.747261615041885,89654.09996032715
63,sell,115.0199966430664,7.9594477704788265,90804.29992675781
64,sell,116.98999786376952,9.397788659926205,91974.19990539551
65,buy,115.0500030517578,0,90823.69987487793
66,sell,114.54000091552734,12.71403052523521,91969.0998840332
67,sell,115.3499984741211,14.174007589673138,93122.59986877441
69,sell,115.7699966430664,15.955529737064033,94280.29983520508
71,sell,114.6999969482422,11.957052576769433,95427.2998046875
73,sell,116.56999969482422,11.454253538962506,96592.99980163574
74,sell,115.63999938964844,11.826704665343973,97749.39979553223
75,sell,116.01000213623048,12.054480347805493,98909.49981689453
77,sell,116.5199966430664,6.420676697832992,100074.6997833252
79,buy,116.83000183105467,0,98906.39976501465
80,sell,118.33999633789062,2.859620337995776,100089.79972839355
82,buy,110.0999984741211,0,98988.79974365234
83,buy,107.93000030517578,0,97909.49974060059
84,buy,106.04000091552734,0,96849.09973144531
85,sell,108.68000030517578,-6.97594915530724,97935.89973449707
86,sell,109.11000061035156,-0.8991806335058482,99026.99974060059
87,buy,109.13999938964844,0,97935.5997467041
88,buy,107.73999786376952,0,96858.1997680664
89,buy,105.79000091552734,0,95800.29975891113
90,buy,105.77999877929688,0,94742.49977111816
92,buy,102.5199966430664,0,93717.2998046875
93,buy,104.81999969482422,0,92669.09980773926
94,buy,105.7699966430664,0,91611.3998413086
95,buy,106.26000213623048,0,90548.79981994629
96,buy,104.97000122070312,0,89499.09980773926
97,buy,106.4000015258789,0,88435.09979248047
98,buy,107.58999633789062,0,87359.19982910156
100,buy,104.97000122070312,0,86309.49981689453
102,buy,102.18000030517578,0,85287.69981384277
103,buy,103.36000061035156,0,84254.09980773926
105,buy,105.29000091552734,0,83201.19979858398
106,buy,106.1500015258789,0,82139.6997833252
107,sell,108.52999877929688,0.5559144560590915,83224.99977111816
108,buy,108.19000244140624,0,82143.0997467041
110,buy,106.41999816894533,0,81078.89976501465
114,buy,105.12999725341795,0,80027.59979248047
115,buy,102.72000122070312,0,79000.39978027344
116,buy,103.87000274658205,0,77961.69975280762
117,buy,103.3000030517578,0,76928.69972229004
118,buy,102.4000015258789,0,75904.69970703125
120,sell,104.5500030517578,-1.4051281128868478,76950.19973754883
121,buy,105.4000015258789,0,75896.19972229004
124,sell,107.45999908447266,-1.5393075999367503,76970.79971313477
126,buy,102.91999816894533,0,75941.59973144531
128,buy,104.69000244140624,0,74894.69970703125
129,sell,105.97000122070312,-1.6428408002239263,75954.39971923828
130,sell,106.48999786376952,0.6616853598490056,77019.29969787598
131,buy,104.54000091552734,0,75973.8996887207
132,buy,100.94000244140624,0,74964.49966430664
133,buy,101.37999725341795,0,73950.69969177246
134,buy,100.91999816894533,0,72941.49971008301
137,buy,103.88999938964844,0,71902.59971618652
138,sell,105.5199966430664,-0.24579517794564015,72957.79968261719
139,buy,105.68000030517578,0,71900.99967956543
140,buy,105.08999633789062,0,70850.09971618652
143,sell,107.23999786376952,4.6039810527269776,71922.49969482422
145,sell,105.29000091552734,0.4483888781449144,72975.39970397949
146,buy,107.12000274658205,0,71904.19967651367
148,sell,107.1999969482422,1.3519904987815248,72976.1996459961
150,sell,109.55999755859376,3.1055856917191917,74071.79962158203
151,sell,110.12000274658205,4.906165062388502,75172.99964904785
152,sell,111.83000183105467,5.103383672278489,76291.2996673584
153,sell,111.91999816894533,4.024539435298576,77410.49964904785
158,sell,108.70999908447266,3.562920663310324,78497.59963989258
159,sell,108.0999984741211,5.793695587457777,79578.59962463379
160,buy,107.1500015258789,0,78507.099609375
161,buy,106.3499984741211,0,77443.59962463379
162,sell,108.25,4.731036533255111,78526.09962463379
163,sell,109.16000366210938,3.675565308131091,79617.69966125488
164,sell,109.80999755859376,3.447947225721487,80715.79963684082
165,sell,110.87999725341795,2.4863617259539037,81824.599609375
166,sell,111.19000244140624,4.482244272254513,82936.49963378906
167,sell,113.5199966430664,7.980595081177631,84071.69960021973
168,sell,113.52999877929688,10.523751392260502,85206.9995880127
169,sell,114.51000213623048,10.243572839414947,86352.099609375
170,sell,113.9499969482422,10.309771134419321,87491.59957885742
172,sell,114.16000366210938,11.484376915032016,88633.19961547852
173,sell,117.48999786376952,11.47058459474704,89808.09959411621
174,sell,116.44000244140624,13.136421019234318,90972.49961853027
176,sell,116.6999969482422,11.471959333994494,92139.4995880127
177,sell,117.63999938964844,12.531087009178846,93315.89958190918
178,sell,117.33000183105467,16.23736773650518,94489.19960021973
180,sell,114.76000213623048,13.197874576152083,95636.79962158203
182,sell,116.2300033569336,15.170437441307245,96799.09965515137
183,sell,116.41000366210938,12.051212191756376,97963.19969177246
184,sell,120.1999969482422,13.739588002589445,99165.19966125488
185,sell,119.47000122070312,13.683514496067911,100359.89967346191
186,sell,117.58000183105467,9.764748708248499,101535.69969177246
187,sell,115.62999725341795,7.914134957329848,102691.99966430664
189,sell,111.5,4.842502679614135,103806.99966430664
191,buy,107.16999816894533,0,102735.29968261719
192,buy,110.91999816894533,0,101626.09970092773
193,sell,110.4499969482422,3.060556905232197,102730.59967041016
194,buy,106.48999786376952,0,101665.69969177246
195,buy,106.47000122070312,0,100600.99967956543
196,buy,109.87000274658205,0,99502.29965209961
197,sell,109.9499969482422,-0.8745052620950186,100601.79962158203
198,sell,111.38999938964844,4.601372545943134,101715.69961547852
200,sell,113.0199966430664,6.151963320433993,102845.89958190918
201,sell,111.08000183105467,1.1013006773682543,103956.69960021973
203,buy,108.38999938964844,0,102872.79960632324
205,sell,107.5999984741211,-0.7288503736284652,103948.79959106445
207,buy,105.87999725341795,0,102889.99961853027
208,buy,105.8499984741211,0,101831.49963378906
209,sell,105.63999938964844,-0.2266696920997224,102887.89962768555
210,sell,109.11000061035156,3.079832010604606,103978.99963378906
213,buy,104.20999908447266,0,102936.89964294434
